English,hi,bn,te,mr,ta,gu,kn,ml,pa,or,as,ur,sa,ne,kok,mai,doi,bodo,sd,ks,mni,sat
15-min online session,15 मिनट का ऑनलाइन सत्र,১৫ মিনিটের অনলাইন সেশন,15-నిమిషాల ఆన్‌లైన్ సెషన్,15 मिनिटांचे ऑनलाइन सत्र,15 நிமிட ஆன்லைன் அமர்வு,15-મિનિટનું ઓનલાઇન સેશન,15-ನಿಮಿಷದ ಆನ್‌ಲೈನ್ ಸೆಷನ್,15 മിനിറ്റ് ഓൺലൈൻ സെഷൻ,15-ਮਿੰਟ ਆਨਲਾਈਨ ਸੈਸ਼ਨ,୧୫-ମିନିଟ୍‍ର ଅନଲାଇନ୍ ସେସନ୍,১৫-মিনিটৰ অনলাইন ছেছন,15 منٹ کا آن لائن سیشن,१५-निमेषीयं जालसत्रम्,१५-मिनेटको अनलाइन सत्र,,,,,,,,
1:1 with a spine coach,स्पाइन कोच के साथ 1:1,স্পাইন কোচের সাথে ১:১,స్పైన్ కోచ్‌తో 1:1,स्पाइन कोचसोबत 1:1,முதுகுத்தண்டு பயிற்சியாளருடன் 1:1,સ્પાઇન કોચ સાથે 1:1,ಸ್ಪೈನ್ ಕೋಚ್‌ರೊಂದಿಗೆ 1:1,സ്പൈൻ കോച്ചുമായി 1:1,ਸਪਾਈਨ ਕੋਚ ਨਾਲ 1:1,ସ୍ପାଇନ୍ କୋଚ୍ ସହ ୧:୧,স্পাইন কোচৰ সৈতে ১:১,اسپائن کوچ کے ساتھ انفرادی نشست,मेरुप्रशिक्षकेण सह १:१,स्पाइन कोचसँग १:१,,,,,,,,
3 to 6 weeks,3 से 6 सप्ताह,৩ থেকে ৬ সপ্তাহ,3 నుండి 6 వారాలు,3 ते 6 आठवडे,3 முதல் 6 வாரங்கள்,3 થી 6 અઠવાડિયાં,3 ರಿಂದ 6 ವಾರಗಳು,3 മുതൽ 6 ആഴ്ച വരെ,3 ਤੋਂ 6 ਹਫ਼ਤੇ,୩ରୁ ୬ ସପ୍ତାହ,৩ৰ পৰা ৬ সপ্তাহ,3 سے 6 ہفتے,३ तः ६ सप्ताहाः,३ देखि ६ हप्ता,,,,,,,,
"A doctor-verified, 6-step lumbar screening — then a daily tracker that earns you rewards.","डॉक्टर-सत्यापित, 6-चरण की लंबर जाँच — फिर एक दैनिक ट्रैकर जो आपको इनाम दिलाता है।","ডাক্তার-যাচাইকৃত, ৬-ধাপের কোমর স্ক্রিনিং — এরপর একটি দৈনিক ট্র্যাকার যা আপনাকে পুরস্কার এনে দেয়।","డాక్టర్-ధృవీకరించిన, 6-దశల నడుము స్క్రీనింగ్ — ఆపై మీకు రివార్డులు సంపాదించిపెట్టే రోజువారీ ట్రాకర్.","डॉक्टर-पडताळणी केलेली, 6-टप्प्यांची कंबर तपासणी — त्यानंतर बक्षिसे मिळवून देणारा रोजचा ट्रॅकर.","மருத்துவர் சரிபார்த்த, 6-படி இடுப்பு முதுகுத்தண்டு பரிசோதனை — பின்னர் வெகுமதிகளைப் பெறும் தினசரி கண்காணிப்பு.","ડોક્ટર-ચકાસિત, 6-પગલાંની કમરની તપાસ — અને પછી રોજનો ટ્રેકર જે તમને ઇનામ અપાવે.","ವೈದ್ಯರಿಂದ ಪರಿಶೀಲಿಸಲ್ಪಟ್ಟ, 6-ಹಂತದ ಸೊಂಟದ ಸ್ಕ್ರೀನಿಂಗ್ — ನಂತರ ಬಹುಮಾನಗಳನ್ನು ಗಳಿಸಿಕೊಡುವ ದೈನಂದಿನ ಟ್ರ್ಯಾಕರ್.","ഡോക്ടർ പരിശോധിച്ച, 6 ഘട്ട നടുവ് സ്ക്രീനിംഗ് — തുടർന്ന് റിവാർഡുകൾ നേടിത്തരുന്ന ദൈനംദിന ട്രാക്കർ.","ਡਾਕਟਰ ਵੱਲੋਂ ਪ੍ਰਮਾਣਿਤ, 6-ਪੜਾਅ ਵਾਲੀ ਲੰਬਰ ਜਾਂਚ — ਫਿਰ ਇੱਕ ਰੋਜ਼ਾਨਾ ਟਰੈਕਰ ਜੋ ਤੁਹਾਨੂੰ ਇਨਾਮ ਦਿਵਾਉਂਦਾ ਹੈ।","ଡାକ୍ତରଙ୍କ ଦ୍ୱାରା ଯାଞ୍ଚିତ, ୬-ସୋପାନ ବିଶିଷ୍ଟ କଟି (ଲମ୍ବାର) ସ୍କ୍ରିନିଂ — ତାପରେ ଏକ ଦୈନିକ ଟ୍ରାକର ଯାହା ଆପଣଙ୍କୁ ପୁରସ୍କାର ଦିଏ।","চিকিৎসকৰ দ্বাৰা প্ৰমাণিত, ৬-পদক্ষেপীয় কঁকালৰ পৰীক্ষণ — তাৰ পিছত এটা দৈনন্দিন ট্ৰেকাৰ যিয়ে আপোনাক পুৰস্কাৰ আনি দিয়ে।",ڈاکٹر سے تصدیق شدہ، 6 مرحلوں پر مشتمل کمر (لمبر) کی اسکریننگ — پھر روزانہ ٹریکر جو آپ کو انعامات دلائے۔,वैद्यप्रमाणितं ६-सोपानं कटिमेरुपरीक्षणम् — ततः प्रतिदिनं पुरस्कारार्जकः अनुसरणकः।,"डाक्टरद्वारा प्रमाणित, ६-चरणको कम्मरको जाँच — त्यसपछि दैनिक ट्र्याकर जसले तपाईंलाई पुरस्कार दिलाउँछ।",,,,,,,,
A few basics,कुछ बुनियादी बातें,কিছু মৌলিক তথ্য,కొన్ని ప్రాథమిక వివరాలు,काही मूलभूत माहिती,சில அடிப்படைகள்,કેટલીક પાયાની માહિતી,ಕೆಲವು ಮೂಲಭೂತ ಮಾಹಿತಿ,ചില അടിസ്ഥാന വിവരങ്ങൾ,ਕੁਝ ਮੁੱਢਲੀਆਂ ਗੱਲਾਂ,କିଛି ମୌଳିକ ତଥ୍ୟ,কেইটামান মৌলিক তথ্য,چند بنیادی باتیں,कतिचन मूलविषयाः,केही आधारभूत कुरा,,,,,,,,
A few habits and symptoms are ageing your spine faster than your years. Small daily corrections can reverse this.,कुछ आदतें और लक्षण आपकी रीढ़ को आपकी उम्र से तेज़ी से बूढ़ा कर रहे हैं। छोटे दैनिक सुधार इसे पलट सकते हैं।,কয়েকটি অভ্যাস ও উপসর্গ আপনার বয়সের চেয়ে দ্রুত আপনার মেরুদণ্ডকে বুড়িয়ে দিচ্ছে। ছোট দৈনিক সংশোধন এটি ফিরিয়ে আনতে পারে।,"కొన్ని అలవాట్లు, లక్షణాలు మీ వెన్నెముకను మీ వయసు కంటే వేగంగా ముసలిదిగా చేస్తున్నాయి. చిన్న రోజువారీ మార్పులతో దీన్ని తిప్పికొట్టవచ్చు.",काही सवयी आणि लक्षणे तुमच्या मणक्याला तुमच्या वयापेक्षा वेगाने वृद्ध करत आहेत. रोजच्या लहान सुधारणांनी हे उलट करता येते.,சில பழக்கங்களும் அறிகுறிகளும் உங்கள் வயதைவிட வேகமாக உங்கள் முதுகுத்தண்டை வயதாக்குகின்றன. சிறு தினசரி திருத்தங்கள் இதை மாற்றியமைக்கும்.,કેટલીક આદતો અને લક્ષણો તમારી કરોડરજ્જુને તમારી ઉંમર કરતાં ઝડપથી વૃદ્ધ બનાવી રહ્યાં છે. રોજના નાના સુધારા આને ઉલટાવી શકે છે.,ಕೆಲವು ಅಭ್ಯಾಸಗಳು ಮತ್ತು ಲಕ್ಷಣಗಳು ನಿಮ್ಮ ಬೆನ್ನುಮೂಳೆಯನ್ನು ನಿಮ್ಮ ವಯಸ್ಸಿಗಿಂತ ವೇಗವಾಗಿ ವಯಸ್ಸಾಗಿಸುತ್ತಿವೆ. ಸಣ್ಣ ದೈನಂದಿನ ತಿದ್ದುಪಡಿಗಳು ಇದನ್ನು ಹಿಂದಿರುಗಿಸಬಹುದು.,ചില ശീലങ്ങളും ലക്ഷണങ്ങളും നിങ്ങളുടെ പ്രായത്തെക്കാൾ വേഗത്തിൽ നട്ടെല്ലിനെ പ്രായമാക്കുന്നു. ചെറിയ ദൈനംദിന തിരുത്തലുകൾ ഇത് മാറ്റാം.,ਕੁਝ ਆਦਤਾਂ ਅਤੇ ਲੱਛਣ ਤੁਹਾਡੀ ਰੀੜ੍ਹ ਨੂੰ ਤੁਹਾਡੀ ਉਮਰ ਨਾਲੋਂ ਤੇਜ਼ੀ ਨਾਲ ਬੁੱਢਾ ਕਰ ਰਹੇ ਹਨ। ਛੋਟੀਆਂ ਰੋਜ਼ਾਨਾ ਤਬਦੀਲੀਆਂ ਇਸਨੂੰ ਉਲਟਾ ਸਕਦੀਆਂ ਹਨ।,କିଛି ଅଭ୍ୟାସ ଓ ଲକ୍ଷଣ ଆପଣଙ୍କ ବୟସଠାରୁ ଅଧିକ ବେଗରେ ମେରୁଦଣ୍ଡକୁ ବୃଦ୍ଧ କରୁଛି। ଛୋଟ ଦୈନିକ ସଂଶୋଧନ ଏହାକୁ ଓଲଟାଇ ପାରେ।,কেইটামান অভ্যাস আৰু লক্ষণে আপোনাৰ বয়সতকৈ আপোনাৰ মেৰুদণ্ড দ্ৰুতগতিত বুঢ়া কৰি তুলিছে। সৰু সৰু দৈনন্দিন সংশোধনে ইয়াক ওলোটাব পাৰে।,کچھ عادتیں اور علامات آپ کی ریڑھ کی ہڈی کو آپ کی عمر سے زیادہ تیزی سے بوڑھا کر رہی ہیں۔ روزانہ کی چھوٹی اصلاحات اسے واپس پلٹ سکتی ہیں۔,केचन अभ्यासाः लक्षणानि च तव वयसः अपेक्षया शीघ्रं मेरुं जरयन्ति। लघुप्रतिदिनसंशोधनैः इदं प्रतिवर्तितुं शक्यते।,केही बानी र लक्षणहरूले तपाईंको मेरुदण्डलाई उमेरभन्दा छिटो बूढो बनाइरहेका छन्। सानो दैनिक सुधारले यसलाई उल्टाउन सक्छ।,,,,,,,,
About you,आपके बारे में,আপনার সম্পর্কে,మీ గురించి,तुमच्याबद्दल,உங்களைப் பற்றி,તમારા વિશે,ನಿಮ್ಮ ಬಗ್ಗೆ,നിങ്ങളെക്കുറിച്ച്,ਤੁਹਾਡੇ ਬਾਰੇ,ଆପଣଙ୍କ ବିଷୟରେ,আপোনাৰ বিষয়ে,آپ کے بارے میں,त्वत्विषये,तपाईंको बारेमा,,,,,,,,
Acute,तीव्र (एक्यूट),তীব্র,తీవ్రమైన (అక్యూట్),तीव्र,தீவிரம் (Acute),તીવ્ર (એક્યુટ),ತೀವ್ರ,നിശിതം,ਤੀਬਰ,ତୀବ୍ର (ଆକ୍ୟୁଟ୍),তীব্ৰ (একিউট),شدید (ایکیوٹ),तीव्रः,तीव्र,,,,,,,,
Add today’s entry,आज की प्रविष्टि जोड़ें,আজকের এন্ট্রি যোগ করুন,ఈరోజు నమోదు జోడించండి,आजची नोंद जोडा,இன்றைய பதிவைச் சேர்,આજની નોંધ ઉમેરો,ಇಂದಿನ ನಮೂದನ್ನು ಸೇರಿಸಿ,ഇന്നത്തെ വിവരം ചേർക്കുക,ਅੱਜ ਦੀ ਐਂਟਰੀ ਜੋੜੋ,ଆଜିର ଏଣ୍ଟ୍ରି ଯୋଡ଼ନ୍ତୁ,আজিৰ এণ্ট্ৰি যোগ কৰক,آج کا اندراج شامل کریں,अद्यतनप्रविष्टिं योजयतु,आजको प्रविष्टि थप्नुहोस्,,,,,,,,
Adjust weight (kg),वज़न समायोजित करें (kg),ওজন সমন্বয় করুন (কেজি),బరువు సర్దుబాటు చేయండి (కేజీ),वजन समायोजित करा (kg),எடையை சரிசெய் (கி.கி),વજન સમાયોજિત કરો (kg),ತೂಕವನ್ನು ಹೊಂದಿಸಿ (ಕೆ.ಜಿ.),ഭാരം ക്രമീകരിക്കുക (kg),ਭਾਰ ਅਡਜਸਟ ਕਰੋ (ਕਿਲੋ),ଓଜନ ସଜାଡ଼ନ୍ତୁ (କିଗ୍ରା),ওজন সলনি কৰক (কিগ্ৰা),وزن ایڈجسٹ کریں (کلوگرام),भारं समायोजयतु (कि.ग्रा.),तौल मिलाउनुहोस् (केजी),,,,,,,,
